Student Name: William Collins
line 1: op1 = -489.11, op2 = 432.89, op = '+', result = -56.219
line 248: op1 = 820.85, op2 = -473.89, op = '*', result = -388993.359
line 253: op1 = -293.86, op2 = 423.15, op = '+', result = 129.297
line 252: op1 = 395.92, op2 = 50.54, op = '-', result = 345.375
line 251: op1 = -217.84, op2 = -182.70, op = '/', result = 1.192
line 253: op1 = -293.86, op2 = 423.15, op = '-', result = -717.010
line 249: op1 = 238.58, op2 = 315.11, op = '*', result = 75180.926
line 254: op1 = 3.42, op2 = -4.32, op = '+', result = -0.899
line 252: op1 = 395.92, op2 = 50.54, op = '/', result = 7.833
line 254: op1 = 3.42, op2 = -4.32, op = '-', result = 7.731
line 250: op1 = 113.65, op2 = 168.76, op = '*', result = 19179.916
line 255: op1 = -220.74, op2 = -23.74, op = '+', result = -244.473
line 253: op1 = -293.86, op2 = 423.15, op = '/', result = -0.694
line 255: op1 = -220.74, op2 = -23.74, op = '-', result = -197.002
line 251: op1 = -217.84, op2 = -182.70, op = '*', result = 39798.576
line 256: op1 = -2.87, op2 = -24.81, op = '+', result = -27.679
line 254: op1 = 3.42, op2 = -4.32, op = '/', result = -0.792
line 256: op1 = -2.87, op2 = -24.81, op = '-', result = 21.934
line 252: op1 = 395.92, op2 = 50.54, op = '*', result = 20010.702
line 257: op1 = -518.61, op2 = 591.83, op = '+', result = 73.216
line 255: op1 = -220.74, op2 = -23.74, op = '/', result = 9.300
line 258: op1 = 9.28, op2 = 33.54, op = '+', result = 42.816
line 257: op1 = -518.61, op2 = 591.83, op = '-', result = -1110.445
line 253: op1 = -293.86, op2 = 423.15, op = '*', result = -124346.562
line 256: op1 = -2.87, op2 = -24.81, op = '/', result = 0.116
line 259: op1 = 106.01, op2 = -546.36, op = '+', result = -440.349
line 258: op1 = 9.28, op2 = 33.54, op = '-', result = -24.262
line 254: op1 = 3.42, op2 = -4.32, op = '*', result = -14.742
line 257: op1 = -518.61, op2 = 591.83, op = '/', result = -0.876
line 260: op1 = -290.38, op2 = 50.33, op = '+', result = -240.046
line 259: op1 = 106.01, op2 = -546.36, op = '-', result = 652.368
line 255: op1 = -220.74, op2 = -23.74, op = '*', result = 5239.258
line 258: op1 = 9.28, op2 = 33.54, op = '/', result = 0.277
line 261: op1 = -52.20, op2 = 129.26, op = '+', result = 77.058
line 260: op1 = -290.38, op2 = 50.33, op = '-', result = -340.710
line 256: op1 = -2.87, op2 = -24.81, op = '*', result = 71.252
line 259: op1 = 106.01, op2 = -546.36, op = '/', result = -0.194
line 257: op1 = -518.61, op2 = 591.83, op = '*', result = -306931.905
line 262: op1 = 4.24, op2 = -156.95, op = '+', result = -152.705
line 261: op1 = -52.20, op2 = 129.26, op = '-', result = -181.458
line 260: op1 = -290.38, op2 = 50.33, op = '/', result = -5.769
line 258: op1 = 9.28, op2 = 33.54, op = '*', result = 311.134
line 263: op1 = 89.82, op2 = -459.06, op = '+', result = -369.244
line 262: op1 = 4.24, op2 = -156.95, op = '-', result = 161.188
line 261: op1 = -52.20, op2 = 129.26, op = '/', result = -0.404
line 259: op1 = 106.01, op2 = -546.36, op = '*', result = -57919.386
line 264: op1 = 580.79, op2 = -632.04, op = '+', result = -51.246
line 263: op1 = 89.82, op2 = -459.06, op = '-', result = 548.876
line 262: op1 = 4.24, op2 = -156.95, op = '/', result = -0.027
line 260: op1 = -290.38, op2 = 50.33, op = '*', result = -14615.363
line 264: op1 = 580.79, op2 = -632.04, op = '-', result = 1212.829
line 263: op1 = 89.82, op2 = -459.06, op = '/', result = -0.196
line 261: op1 = -52.20, op2 = 129.26, op = '*', result = -6747.306
line 264: op1 = 580.79, op2 = -632.04, op = '/', result = -0.919
line 265: op1 = 74.53, op2 = 193.78, op = '-', result = -119.247
line 265: op1 = 74.53, op2 = 193.78, op = '+', result = 268.305
line 262: op1 = 4.24, op2 = -156.95, op = '*', result = -665.734
line 266: op1 = -9.53, op2 = 819.39, op = '-', result = -828.919
line 266: op1 = -9.53, op2 = 819.39, op = '+', result = 809.863
line 263: op1 = 89.82, op2 = -459.06, op = '*', result = -41231.033
line 265: op1 = 74.53, op2 = 193.78, op = '/', result = 0.385
line 267: op1 = 177.88, op2 = 669.16, op = '-', result = -491.283
line 267: op1 = 177.88, op2 = 669.16, op = '+', result = 847.039
line 264: op1 = 580.79, op2 = -632.04, op = '*', result = -367081.767
line 266: op1 = -9.53, op2 = 819.39, op = '/', result = -0.012
line 268: op1 = 568.31, op2 = 266.40, op = '-', result = 301.915
line 268: op1 = 568.31, op2 = 266.40, op = '+', result = 834.707
line 269: op1 = 51.72, op2 = -83.82, op = '-', result = 135.533
line 267: op1 = 177.88, op2 = 669.16, op = '/', result = 0.266
line 265: op1 = 74.53, op2 = 193.78, op = '*', result = 14441.933
line 269: op1 = 51.72, op2 = -83.82, op = '+', result = -32.100
line 270: op1 = -744.65, op2 = 565.93, op = '-', result = -1310.585
line 268: op1 = 568.31, op2 = 266.40, op = '/', result = 2.133
line 266: op1 = -9.53, op2 = 819.39, op = '*', result = -7807.000
line 270: op1 = -744.65, op2 = 565.93, op = '+', result = -178.716
line 271: op1 = 842.74, op2 = 18.73, op = '-', result = 824.014
line 269: op1 = 51.72, op2 = -83.82, op = '/', result = -0.617
line 267: op1 = 177.88, op2 = 669.16, op = '*', result = 119029.210
line 271: op1 = 842.74, op2 = 18.73, op = '+', result = 861.469
line 272: op1 = -92.01, op2 = 222.37, op = '-', result = -314.384
line 270: op1 = -744.65, op2 = 565.93, op = '/', result = -1.316
line 268: op1 = 568.31, op2 = 266.40, op = '*', result = 151395.650
line 272: op1 = -92.01, op2 = 222.37, op = '+', result = 130.354
line 273: op1 = 173.83, op2 = 176.46, op = '-', result = -2.634
line 273: op1 = 173.83, op2 = 176.46, op = '+', result = 350.285
line 271: op1 = 842.74, op2 = 18.73, op = '/', result = 45.000
line 269: op1 = 51.72, op2 = -83.82, op = '*', result = -4334.667
line 274: op1 = -811.35, op2 = 48.29, op = '-', result = -859.641
line 274: op1 = -811.35, op2 = 48.29, op = '+', result = -763.052
line 272: op1 = -92.01, op2 = 222.37, op = '/', result = -0.414
line 270: op1 = -744.65, op2 = 565.93, op = '*', result = -421423.398
line 275: op1 = -323.52, op2 = -151.52, op = '-', result = -172.000
line 275: op1 = -323.52, op2 = -151.52, op = '+', result = -475.047
line 273: op1 = 173.83, op2 = 176.46, op = '/', result = 0.985
line 271: op1 = 842.74, op2 = 18.73, op = '*', result = 15782.505
line 276: op1 = -891.70, op2 = 683.63, op = '-', result = -1575.332
line 276: op1 = -891.70, op2 = 683.63, op = '+', result = -208.063
line 274: op1 = -811.35, op2 = 48.29, op = '/', result = -16.800
line 272: op1 = -92.01, op2 = 222.37, op = '*', result = -20461.230
line 277: op1 = -436.85, op2 = 614.32, op = '-', result = -1051.164
line 273: op1 = 173.83, op2 = 176.46, op = '*', result = 30673.234
line 277: op1 = -436.85, op2 = 614.32, op = '+', result = 177.469
line 275: op1 = -323.52, op2 = -151.52, op = '/', result = 2.135
line 278: op1 = 460.60, op2 = -252.88, op = '-', result = 713.475
line 274: op1 = -811.35, op2 = 48.29, op = '*', result = -39183.515
line 278: op1 = 460.60, op2 = -252.88, op = '+', result = 207.720
line 276: op1 = -891.70, op2 = 683.63, op = '/', result = -1.304
line 279: op1 = 32.04, op2 = -154.88, op = '-', result = 186.919
line 275: op1 = -323.52, op2 = -151.52, op = '*', result = 49021.385
line 279: op1 = 32.04, op2 = -154.88, op = '+', result = -122.832
line 277: op1 = -436.85, op2 = 614.32, op = '/', result = -0.711
line 280: op1 = -662.03, op2 = 72.66, op = '-', result = -734.690
line 276: op1 = -891.70, op2 = 683.63, op = '*', result = -609595.581
line 280: op1 = -662.03, op2 = 72.66, op = '+', result = -589.367
line 278: op1 = 460.60, op2 = -252.88, op = '/', result = -1.821
line 281: op1 = 266.37, op2 = 712.94, op = '+', result = 979.319
line 281: op1 = 266.37, op2 = 712.94, op = '-', result = -446.570
line 277: op1 = -436.85, op2 = 614.32, op = '*', result = -268362.656
line 279: op1 = 32.04, op2 = -154.88, op = '/', result = -0.207
line 282: op1 = 336.19, op2 = 376.53, op = '+', result = 712.715
line 282: op1 = 336.19, op2 = 376.53, op = '-', result = -40.342
line 278: op1 = 460.60, op2 = -252.88, op = '*', result = -116474.573
line 280: op1 = -662.03, op2 = 72.66, op = '/', result = -9.111
line 283: op1 = -66.84, op2 = -262.59, op = '+', result = -329.429
line 283: op1 = -66.84, op2 = -262.59, op = '-', result = 195.748
line 279: op1 = 32.04, op2 = -154.88, op = '*', result = -4962.712
line 281: op1 = 266.37, op2 = 712.94, op = '/', result = 0.374
line 284: op1 = 60.28, op2 = -15.86, op = '+', result = 44.419
line 284: op1 = 60.28, op2 = -15.86, op = '-', result = 76.147
line 280: op1 = -662.03, op2 = 72.66, op = '*', result = -48104.093
line 282: op1 = 336.19, op2 = 376.53, op = '/', result = 0.893
line 281: op1 = 266.37, op2 = 712.94, op = '*', result = 189910.398
line 285: op1 = 28.23, op2 = 112.92, op = '+', result = 141.146
line 285: op1 = 28.23, op2 = 112.92, op = '-', result = -84.687
line 283: op1 = -66.84, op2 = -262.59, op = '/', result = 0.255
line 282: op1 = 336.19, op2 = 376.53, op = '*', result = 126583.904
line 286: op1 = 449.66, op2 = 415.07, op = '+', result = 864.725
line 286: op1 = 449.66, op2 = 415.07, op = '-', result = 34.589
line 284: op1 = 60.28, op2 = -15.86, op = '/', result = -3.800
line 283: op1 = -66.84, op2 = -262.59, op = '*', result = 17551.607
line 287: op1 = -641.47, op2 = 783.09, op = '+', result = 141.622
line 287: op1 = -641.47, op2 = 783.09, op = '-', result = -1424.556
line 285: op1 = 28.23, op2 = 112.92, op = '/', result = 0.250
line 284: op1 = 60.28, op2 = -15.86, op = '*', result = -956.334
line 288: op1 = 249.10, op2 = 141.96, op = '+', result = 391.062
line 288: op1 = 249.10, op2 = 141.96, op = '-', result = 107.140
line 289: op1 = -326.92, op2 = -379.23, op = '+', result = -706.156
line 286: op1 = 449.66, op2 = 415.07, op = '/', result = 1.083
line 285: op1 = 28.23, op2 = 112.92, op = '*', result = 3187.537
line 289: op1 = -326.92, op2 = -379.23, op = '-', result = 52.308
line 290: op1 = 176.93, op2 = -21.16, op = '+', result = 155.779
line 287: op1 = -641.47, op2 = 783.09, op = '/', result = -0.819
line 286: op1 = 449.66, op2 = 415.07, op = '*', result = 186638.158
line 290: op1 = 176.93, op2 = -21.16, op = '-', result = 198.090
line 291: op1 = -374.03, op2 = 261.82, op = '+', result = -112.210
line 288: op1 = 249.10, op2 = 141.96, op = '/', result = 1.755
line 287: op1 = -641.47, op2 = 783.09, op = '*', result = -502325.517
line 291: op1 = -374.03, op2 = 261.82, op = '-', result = -635.857
line 292: op1 = 70.99, op2 = -198.78, op = '+', result = -127.788
line 289: op1 = -326.92, op2 = -379.23, op = '/', result = 0.862
line 288: op1 = 249.10, op2 = 141.96, op = '*', result = 35362.635
line 292: op1 = 70.99, op2 = -198.78, op = '-', result = 269.776
line 289: op1 = -326.92, op2 = -379.23, op = '*', result = 123980.218
line 293: op1 = -291.32, op2 = 231.73, op = '+', result = -59.588
line 290: op1 = 176.93, op2 = -21.16, op = '/', result = -8.364
line 293: op1 = -291.32, op2 = 231.73, op = '-', result = -523.047
line 290: op1 = 176.93, op2 = -21.16, op = '*', result = -3743.093
line 294: op1 = 137.88, op2 = 620.47, op = '+', result = 758.351
line 291: op1 = -374.03, op2 = 261.82, op = '/', result = -1.429
line 294: op1 = 137.88, op2 = 620.47, op = '-', result = -482.587
line 291: op1 = -374.03, op2 = 261.82, op = '*', result = -97930.651
line 295: op1 = -277.48, op2 = 359.09, op = '+', result = 81.612
line 292: op1 = 70.99, op2 = -198.78, op = '/', result = -0.357
line 295: op1 = -277.48, op2 = 359.09, op = '-', result = -636.571
line 292: op1 = 70.99, op2 = -198.78, op = '*', result = -14112.238
line 296: op1 = -150.88, op2 = -502.93, op = '+', result = -653.810
line 293: op1 = -291.32, op2 = 231.73, op = '/', result = -1.257
line 297: op1 = 486.34, op2 = -444.41, op = '+', result = 41.926
line 296: op1 = -150.88, op2 = -502.93, op = '-', result = 352.052
line 293: op1 = -291.32, op2 = 231.73, op = '*', result = -67506.946
line 294: op1 = 137.88, op2 = 620.47, op = '/', result = 0.222
line 298: op1 = 458.06, op2 = -423.58, op = '+', result = 34.478
line 297: op1 = 486.34, op2 = -444.41, op = '-', result = 930.753
line 294: op1 = 137.88, op2 = 620.47, op = '*', result = 85551.563
line 295: op1 = -277.48, op2 = 359.09, op = '/', result = -0.773
line 299: op1 = 185.47, op2 = -202.72, op = '+', result = -17.253
line 298: op1 = 458.06, op2 = -423.58, op = '-', result = 881.644
line 295: op1 = -277.48, op2 = 359.09, op = '*', result = -99640.489
line 296: op1 = -150.88, op2 = -502.93, op = '/', result = 0.300
line 300: op1 = -37.42, op2 = 51.59, op = '+', result = 14.173
line 299: op1 = 185.47, op2 = -202.72, op = '-', result = 388.186
line 296: op1 = -150.88, op2 = -502.93, op = '*', result = 75881.804
line 297: op1 = 486.34, op2 = -444.41, op = '/', result = -1.094
line 297: op1 = 486.34, op2 = -444.41, op = '*', result = -216135.934
line 301: op1 = 528.18, op2 = 611.91, op = '+', result = 1140.093
line 300: op1 = -37.42, op2 = 51.59, op = '-', result = -89.007
line 298: op1 = 458.06, op2 = -423.58, op = '/', result = -1.081
line 298: op1 = 458.06, op2 = -423.58, op = '*', result = -194026.822
line 302: op1 = -7.78, op2 = -44.73, op = '+', result = -52.513
line 301: op1 = 528.18, op2 = 611.91, op = '-', result = -83.736
line 299: op1 = 185.47, op2 = -202.72, op = '/', result = -0.915
line 299: op1 = 185.47, op2 = -202.72, op = '*', result = -37597.637
line 303: op1 = -32.82, op2 = -7.57, op = '+', result = -40.389
line 302: op1 = -7.78, op2 = -44.73, op = '-', result = 36.954
line 300: op1 = -37.42, op2 = 51.59, op = '/', result = -0.725
line 300: op1 = -37.42, op2 = 51.59, op = '*', result = -1930.342
line 304: op1 = -152.20, op2 = 54.36, op = '+', result = -97.843
line 303: op1 = -32.82, op2 = -7.57, op = '-', result = -25.243
line 305: op1 = -63.09, op2 = -167.01, op = '+', result = -230.107
line 301: op1 = 528.18, op2 = 611.91, op = '/', result = 0.863
line 301: op1 = 528.18, op2 = 611.91, op = '*', result = 323200.361
line 304: op1 = -152.20, op2 = 54.36, op = '-', result = -206.557
line 306: op1 = 40.75, op2 = 24.18, op = '+', result = 64.929
line 302: op1 = -7.78, op2 = -44.73, op = '/', result = 0.174
line 302: op1 = -7.78, op2 = -44.73, op = '*', result = 348.012
line 305: op1 = -63.09, op2 = -167.01, op = '-', result = 103.919
line 307: op1 = 730.98, op2 = 85.44, op = '+', result = 816.424
line 303: op1 = -32.82, op2 = -7.57, op = '/', result = 4.333
line 303: op1 = -32.82, op2 = -7.57, op = '*', result = 248.517
line 306: op1 = 40.75, op2 = 24.18, op = '-', result = 16.568
line 308: op1 = -198.01, op2 = -163.87, op = '+', result = -361.877
line 304: op1 = -152.20, op2 = 54.36, op = '/', result = -2.800
line 304: op1 = -152.20, op2 = 54.36, op = '*', result = -8273.122
line 307: op1 = 730.98, op2 = 85.44, op = '-', result = 645.544
line 305: op1 = -63.09, op2 = -167.01, op = '*', result = 10537.476
line 309: op1 = -28.53, op2 = 137.91, op = '+', result = 109.375
line 305: op1 = -63.09, op2 = -167.01, op = '/', result = 0.378
line 308: op1 = -198.01, op2 = -163.87, op = '-', result = -34.139
line 306: op1 = 40.75, op2 = 24.18, op = '*', result = 985.319
line 306: op1 = 40.75, op2 = 24.18, op = '/', result = 1.685
line 309: op1 = -28.53, op2 = 137.91, op = '-', result = -166.440
line 307: op1 = 730.98, op2 = 85.44, op = '*', result = 62455.069
line 310: op1 = -124.81, op2 = 340.39, op = '+', result = 215.581
line 307: op1 = 730.98, op2 = 85.44, op = '/', result = 8.556
line 308: op1 = -198.01, op2 = -163.87, op = '*', result = 32447.451
line 311: op1 = 5.59, op2 = -20.67, op = '+', result = -15.083
line 308: op1 = -198.01, op2 = -163.87, op = '/', result = 1.208
line 310: op1 = -124.81, op2 = 340.39, op = '-', result = -465.201
line 309: op1 = -28.53, op2 = 137.91, op = '*', result = -3934.863
line 312: op1 = 486.06, op2 = -319.13, op = '+', result = 166.929
line 309: op1 = -28.53, op2 = 137.91, op = '/', result = -0.207
line 311: op1 = 5.59, op2 = -20.67, op = '-', result = 26.256
line 313: op1 = 708.40, op2 = -313.85, op = '+', result = 394.550
line 310: op1 = -124.81, op2 = 340.39, op = '*', result = -42484.239
line 312: op1 = 486.06, op2 = -319.13, op = '-', result = 805.187
line 314: op1 = -4.57, op2 = -141.82, op = '+', result = -146.396
line 311: op1 = 5.59, op2 = -20.67, op = '*', result = -115.471
line 310: op1 = -124.81, op2 = 340.39, op = '/', result = -0.367
line 313: op1 = 708.40, op2 = -313.85, op = '-', result = 1022.244
line 315: op1 = 136.90, op2 = -795.73, op = '+', result = -658.831
line 312: op1 = 486.06, op2 = -319.13, op = '*', result = -155115.067
line 311: op1 = 5.59, op2 = -20.67, op = '/', result = -0.270
line 314: op1 = -4.57, op2 = -141.82, op = '-', result = 137.247
line 316: op1 = -169.64, op2 = 293.01, op = '+', result = 123.371
line 313: op1 = 708.40, op2 = -313.85, op = '*', result = -222328.368
line 312: op1 = 486.06, op2 = -319.13, op = '/', result = -1.523
line 314: op1 = -4.57, op2 = -141.82, op = '*', result = 648.818
line 315: op1 = 136.90, op2 = -795.73, op = '-', result = 932.631
line 317: op1 = -219.34, op2 = 128.58, op = '+', result = -90.760
line 313: op1 = 708.40, op2 = -313.85, op = '/', result = -2.257
line 315: op1 = 136.90, op2 = -795.73, op = '*', result = -108935.650
line 316: op1 = -169.64, op2 = 293.01, op = '-', result = -462.643
line 318: op1 = -114.35, op2 = 49.55, op = '+', result = -64.798
line 314: op1 = -4.57, op2 = -141.82, op = '/', result = 0.032
line 316: op1 = -169.64, op2 = 293.01, op = '*', result = -49704.491
line 317: op1 = -219.34, op2 = 128.58, op = '-', result = -347.914
line 319: op1 = -465.48, op2 = 438.50, op = '+', result = -26.984
line 315: op1 = 136.90, op2 = -795.73, op = '/', result = -0.172
line 317: op1 = -219.34, op2 = 128.58, op = '*', result = -28201.679
line 318: op1 = -114.35, op2 = 49.55, op = '-', result = -163.900
line 320: op1 = -50.99, op2 = 59.49, op = '+', result = 8.499
line 319: op1 = -465.48, op2 = 438.50, op = '-', result = -903.977
line 316: op1 = -169.64, op2 = 293.01, op = '/', result = -0.579
line 318: op1 = -114.35, op2 = 49.55, op = '*', result = -5666.139
line 321: op1 = 8.28, op2 = -8.28, op = '+', result = 0.000
line 320: op1 = -50.99, op2 = 59.49, op = '-', result = -110.485
line 317: op1 = -219.34, op2 = 128.58, op = '/', result = -1.706
line 319: op1 = -465.48, op2 = 438.50, op = '*', result = -204111.545
line 322: op1 = 212.17, op2 = 261.58, op = '+', result = 473.751
line 321: op1 = 8.28, op2 = -8.28, op = '-', result = 16.563
line 318: op1 = -114.35, op2 = 49.55, op = '/', result = -2.308
line 320: op1 = -50.99, op2 = 59.49, op = '*', result = -3033.665
line 323: op1 = 48.15, op2 = 12.27, op = '+', result = 60.428
line 322: op1 = 212.17, op2 = 261.58, op = '-', result = -49.410
line 319: op1 = -465.48, op2 = 438.50, op = '/', result = -1.062
line 321: op1 = 8.28, op2 = -8.28, op = '*', result = -68.586
line 324: op1 = -304.37, op2 = 415.97, op = '+', result = 111.603
line 322: op1 = 212.17, op2 = 261.58, op = '*', result = 55499.558
line 323: op1 = 48.15, op2 = 12.27, op = '-', result = 35.879
line 320: op1 = -50.99, op2 = 59.49, op = '/', result = -0.857
line 325: op1 = 244.34, op2 = -77.74, op = '+', result = 166.592
line 323: op1 = 48.15, op2 = 12.27, op = '*', result = 591.067
line 324: op1 = -304.37, op2 = 415.97, op = '-', result = -720.347
line 321: op1 = 8.28, op2 = -8.28, op = '/', result = -1.000
line 326: op1 = 90.12, op2 = -215.29, op = '+', result = -125.168
line 324: op1 = -304.37, op2 = 415.97, op = '*', result = -126610.989
line 325: op1 = 244.34, op2 = -77.74, op = '-', result = 322.078
line 322: op1 = 212.17, op2 = 261.58, op = '/', result = 0.811
line 327: op1 = -494.49, op2 = -440.55, op = '+', result = -935.041
line 325: op1 = 244.34, op2 = -77.74, op = '*', result = -18995.328
line 326: op1 = 90.12, op2 = -215.29, op = '-', result = 305.411
line 323: op1 = 48.15, op2 = 12.27, op = '/', result = 3.923
line 327: op1 = -494.49, op2 = -440.55, op = '-', result = -53.945
line 328: op1 = 331.01, op2 = -73.56, op = '+', result = 257.453
line 326: op1 = 90.12, op2 = -215.29, op = '*', result = -19402.196
line 324: op1 = -304.37, op2 = 415.97, op = '/', result = -0.732
line 328: op1 = 331.01, op2 = -73.56, op = '-', result = 404.569
line 329: op1 = -536.81, op2 = -56.51, op = '+', result = -593.321
line 327: op1 = -494.49, op2 = -440.55, op = '*', result = 217847.742
line 325: op1 = 244.34, op2 = -77.74, op = '/', result = -3.143
line 329: op1 = -536.81, op2 = -56.51, op = '-', result = -480.308
line 330: op1 = -52.08, op2 = -349.67, op = '+', result = -401.748
line 328: op1 = 331.01, op2 = -73.56, op = '*', result = -24348.504
line 326: op1 = 90.12, op2 = -215.29, op = '/', result = -0.419
line 330: op1 = -52.08, op2 = -349.67, op = '-', result = 297.591
line 331: op1 = 104.92, op2 = -673.22, op = '+', result = -568.301
line 329: op1 = -536.81, op2 = -56.51, op = '*', result = 30333.663
line 327: op1 = -494.49, op2 = -440.55, op = '/', result = 1.122
line 330: op1 = -52.08, op2 = -349.67, op = '*', result = 18210.223
line 331: op1 = 104.92, op2 = -673.22, op = '-', result = 778.135
line 332: op1 = 497.83, op2 = -607.64, op = '+', result = -109.815
line 328: op1 = 331.01, op2 = -73.56, op = '/', result = -4.500
line 331: op1 = 104.92, op2 = -673.22, op = '*', result = -70632.052
line 332: op1 = 497.83, op2 = -607.64, op = '-', result = 1105.470
line 333: op1 = -219.09, op2 = 355.51, op = '+', result = 136.417
line 329: op1 = -536.81, op2 = -56.51, op = '/', result = 9.500
line 332: op1 = 497.83, op2 = -607.64, op = '*', result = -302501.088
line 333: op1 = -219.09, op2 = 355.51, op = '-', result = -574.605
line 334: op1 = -52.85, op2 = -50.67, op = '+', result = -103.522
line 330: op1 = -52.08, op2 = -349.67, op = '/', result = 0.149
line 333: op1 = -219.09, op2 = 355.51, op = '*', result = -77890.410
line 334: op1 = -52.85, op2 = -50.67, op = '-', result = -2.179
line 335: op1 = 214.27, op2 = -133.07, op = '+', result = 81.197
line 335: op1 = 214.27, op2 = -133.07, op = '-', result = 347.341
line 331: op1 = 104.92, op2 = -673.22, op = '/', result = -0.156
line 334: op1 = -52.85, op2 = -50.67, op = '*', result = 2678.009
line 336: op1 = 521.39, op2 = 548.83, op = '+', result = 1070.213
line 336: op1 = 521.39, op2 = 548.83, op = '-', result = -27.441
line 332: op1 = 497.83, op2 = -607.64, op = '/', result = -0.819
line 335: op1 = 214.27, op2 = -133.07, op = '*', result = -28513.193
line 337: op1 = -109.58, op2 = 371.37, op = '+', result = 261.786
line 337: op1 = -109.58, op2 = 371.37, op = '-', result = -480.956
line 333: op1 = -219.09, op2 = 355.51, op = '/', result = -0.616
line 336: op1 = 521.39, op2 = 548.83, op = '*', result = 286150.844
line 338: op1 = -695.74, op2 = -351.46, op = '+', result = -1047.195
line 338: op1 = -695.74, op2 = -351.46, op = '-', result = -344.283
line 334: op1 = -52.85, op2 = -50.67, op = '/', result = 1.043
line 337: op1 = -109.58, op2 = 371.37, op = '*', result = -40696.729
line 339: op1 = 1.64, op2 = -3.28, op = '+', result = -1.638
line 338: op1 = -695.74, op2 = -351.46, op = '*', result = 244521.571
line 339: op1 = 1.64, op2 = -3.28, op = '-', result = 4.913
line 335: op1 = 214.27, op2 = -133.07, op = '/', result = -1.610
line 340: op1 = -480.07, op2 = -878.62, op = '+', result = -1358.684
line 339: op1 = 1.64, op2 = -3.28, op = '*', result = -5.364
line 340: op1 = -480.07, op2 = -878.62, op = '-', result = 398.547
line 336: op1 = 521.39, op2 = 548.83, op = '/', result = 0.950
line 341: op1 = -547.53, op2 = 28.82, op = '+', result = -518.708
line 340: op1 = -480.07, op2 = -878.62, op = '*', result = 421795.582
line 341: op1 = -547.53, op2 = 28.82, op = '-', result = -576.342
line 337: op1 = -109.58, op2 = 371.37, op = '/', result = -0.295
line 342: op1 = -178.29, op2 = 466.69, op = '+', result = 288.405
line 341: op1 = -547.53, op2 = 28.82, op = '*', result = -15778.089
line 342: op1 = -178.29, op2 = 466.69, op = '-', result = -644.978
line 338: op1 = -695.74, op2 = -351.46, op = '/', result = 1.980
line 343: op1 = 141.25, op2 = 1.96, op = '-', result = 139.285
line 343: op1 = 141.25, op2 = 1.96, op = '+', result = 143.208
line 342: op1 = -178.29, op2 = 466.69, op = '*', result = -83204.730
line 339: op1 = 1.64, op2 = -3.28, op = '/', result = -0.500
line 344: op1 = 510.36, op2 = -42.53, op = '-', result = 552.885
line 344: op1 = 510.36, op2 = -42.53, op = '+', result = 467.825
line 343: op1 = 141.25, op2 = 1.96, op = '*', result = 277.092
line 340: op1 = -480.07, op2 = -878.62, op = '/', result = 0.546
line 345: op1 = 128.11, op2 = -109.36, op = '-', result = 237.470
line 345: op1 = 128.11, op2 = -109.36, op = '+', result = 18.748
line 344: op1 = 510.36, op2 = -42.53, op = '*', result = -21705.193
line 341: op1 = -547.53, op2 = 28.82, op = '/', result = -19.000
line 346: op1 = 337.05, op2 = -245.13, op = '-', result = 582.172
line 346: op1 = 337.05, op2 = -245.13, op = '+', result = 91.922
line 345: op1 = 128.11, op2 = -109.36, op = '*', result = -14010.141
line 342: op1 = -178.29, op2 = 466.69, op = '/', result = -0.382
line 346: op1 = 337.05, op2 = -245.13, op = '*', result = -82618.630
line 347: op1 = 194.79, op2 = -212.91, op = '-', result = 407.696
line 347: op1 = 194.79, op2 = -212.91, op = '+', result = -18.120
line 343: op1 = 141.25, op2 = 1.96, op = '/', result = 72.000
line 347: op1 = 194.79, op2 = -212.91, op = '*', result = -41472.018
line 348: op1 = -13.47, op2 = 191.31, op = '-', result = -204.781
line 348: op1 = -13.47, op2 = 191.31, op = '+', result = 177.836
line 344: op1 = 510.36, op2 = -42.53, op = '/', result = -12.000
line 348: op1 = -13.47, op2 = 191.31, op = '*', result = -2577.385
line 349: op1 = 195.73, op2 = -374.43, op = '-', result = 570.160
line 349: op1 = 195.73, op2 = -374.43, op = '+', result = -178.707
line 345: op1 = 128.11, op2 = -109.36, op = '/', result = -1.171
line 349: op1 = 195.73, op2 = -374.43, op = '*', result = -73286.626
line 350: op1 = 163.73, op2 = 19.26, op = '-', result = 144.469
line 350: op1 = 163.73, op2 = 19.26, op = '+', result = 182.994
line 346: op1 = 337.05, op2 = -245.13, op = '/', result = -1.375
line 351: op1 = 337.63, op2 = 295.42, op = '+', result = 633.052
line 350: op1 = 163.73, op2 = 19.26, op = '*', result = 3153.894
line 351: op1 = 337.63, op2 = 295.42, op = '-', result = 42.203
line 347: op1 = 194.79, op2 = -212.91, op = '/', result = -0.915
line 352: op1 = 367.83, op2 = -568.47, op = '+', result = -200.636
line 351: op1 = 337.63, op2 = 295.42, op = '*', result = 99743.408
line 352: op1 = 367.83, op2 = -568.47, op = '-', result = 936.300
line 348: op1 = -13.47, op2 = 191.31, op = '/', result = -0.070
line 353: op1 = -199.44, op2 = 312.17, op = '+', result = 112.728
line 352: op1 = 367.83, op2 = -568.47, op = '*', result = -209100.660
line 353: op1 = -199.44, op2 = 312.17, op = '-', result = -511.610
line 349: op1 = 195.73, op2 = -374.43, op = '/', result = -0.523
